'True Positives','False Negatives','False Positives','True Negatives','False Positive Rate','True Positive Rate',Precision,Recall,Fallout,FMeasure,'Sample Size',Lift,Threshold
458,0,241,0,1,1,0.655222,1,0.344778,0.791703,1,1,0
458,0,240,1,0.995851,1,0.65616,1,0.34384,0.792388,0.998569,1.001433,0
458,0,239,2,0.991701,1,0.657102,1,0.342898,0.793074,0.997139,1.002869,0
458,0,238,3,0.987552,1,0.658046,1,0.341954,0.793761,0.995708,1.00431,0
458,0,237,4,0.983402,1,0.658993,1,0.341007,0.794449,0.994278,1.005755,0
458,0,236,5,0.979253,1,0.659942,1,0.340058,0.795139,0.992847,1.007205,0
458,0,235,6,0.975104,1,0.660895,1,0.339105,0.79583,0.991416,1.008658,0
458,0,234,7,0.970954,1,0.66185,1,0.33815,0.796522,0.989986,1.010116,0
458,0,233,8,0.966805,1,0.662808,1,0.337192,0.797215,0.988555,1.011577,0
458,0,232,9,0.962656,1,0.663768,1,0.336232,0.797909,0.987124,1.013043,0
458,0,231,10,0.958506,1,0.664731,1,0.335269,0.798605,0.985694,1.014514,0
458,0,230,11,0.954357,1,0.665698,1,0.334302,0.799302,0.984263,1.015988,0
458,0,229,12,0.950207,1,0.666667,1,0.333333,0.8,0.982833,1.017467,0
458,0,228,13,0.946058,1,0.667638,1,0.332362,0.800699,0.981402,1.01895,0
458,0,227,14,0.941909,1,0.668613,1,0.331387,0.8014,0.979971,1.020438,0
458,0,226,15,0.937759,1,0.669591,1,0.330409,0.802102,0.978541,1.02193,0
458,0,225,16,0.93361,1,0.670571,1,0.329429,0.802805,0.97711,1.023426,0
458,0,224,17,0.929461,1,0.671554,1,0.328446,0.803509,0.97568,1.024927,0
458,0,223,18,0.925311,1,0.67254,1,0.32746,0.804214,0.974249,1.026432,0
458,0,222,19,0.921162,1,0.673529,1,0.326471,0.804921,0.972818,1.027941,0
458,0,221,20,0.917012,1,0.674521,1,0.325479,0.805629,0.971388,1.029455,0
458,0,220,21,0.912863,1,0.675516,1,0.324484,0.806338,0.969957,1.030973,0.000001
458,0,219,22,0.908714,1,0.676514,1,0.323486,0.807048,0.968526,1.032496,0.000001
458,0,218,23,0.904564,1,0.677515,1,0.322485,0.80776,0.967096,1.034024,0.000001
458,0,217,24,0.900415,1,0.678519,1,0.321481,0.808473,0.965665,1.035556,0.000001
458,0,216,25,0.896266,1,0.679525,1,0.320475,0.809187,0.964235,1.037092,0.000002
458,0,215,26,0.892116,1,0.680535,1,0.319465,0.809903,0.962804,1.038633,0.000002
458,0,214,27,0.887967,1,0.681548,1,0.318452,0.810619,0.961373,1.040179,0.000003
458,0,213,28,0.883817,1,0.682563,1,0.317437,0.811337,0.959943,1.041729,0.000004
458,0,212,29,0.879668,1,0.683582,1,0.316418,0.812057,0.958512,1.043284,0.000006
458,0,211,30,0.875519,1,0.684604,1,0.315396,0.812777,0.957082,1.044843,0.000007
458,0,210,31,0.871369,1,0.685629,1,0.314371,0.813499,0.955651,1.046407,0.000008
458,0,209,32,0.86722,1,0.686657,1,0.313343,0.814222,0.95422,1.047976,0.000009
458,0,208,33,0.863071,1,0.687688,1,0.312312,0.814947,0.95279,1.04955,0.000012
458,0,207,34,0.858921,1,0.688722,1,0.311278,0.815672,0.951359,1.051128,0.000016
458,0,206,35,0.854772,1,0.689759,1,0.310241,0.816399,0.949928,1.052711,0.000018
458,0,205,36,0.850622,1,0.690799,1,0.309201,0.817128,0.948498,1.054299,0.000018
458,0,204,37,0.846473,1,0.691843,1,0.308157,0.817857,0.947067,1.055891,0.000018
458,0,203,38,0.842324,1,0.69289,1,0.30711,0.818588,0.945637,1.057489,0.000018
458,0,202,39,0.838174,1,0.693939,1,0.306061,0.81932,0.944206,1.059091,0.000019
458,0,201,40,0.834025,1,0.694992,1,0.305008,0.820054,0.942775,1.060698,0.000021
458,0,200,41,0.829876,1,0.696049,1,0.303951,0.820789,0.941345,1.06231,0.000021
