'True Positives','False Negatives','False Positives','True Negatives','False Positive Rate','True Positive Rate',Precision,Recall,Fallout,FMeasure,'Sample Size',Lift,Threshold
32,0,123,0,1,1,0.206452,1,0.793548,0.342246,1,1,0
32,0,122,1,0.99187,1,0.207792,1,0.792208,0.344086,0.993548,1.006494,0
32,0,121,2,0.98374,1,0.20915,1,0.79085,0.345946,0.987097,1.013072,0
32,0,120,3,0.97561,1,0.210526,1,0.789474,0.347826,0.980645,1.019737,0
32,0,119,4,0.96748,1,0.211921,1,0.788079,0.349727,0.974194,1.02649,0
32,0,118,5,0.95935,1,0.213333,1,0.786667,0.351648,0.967742,1.033333,0
32,0,117,6,0.95122,1,0.214765,1,0.785235,0.353591,0.96129,1.040268,0
31,1,117,6,0.95122,0.96875,0.209459,0.96875,0.790541,0.344444,0.954839,1.014569,0
31,1,116,7,0.943089,0.96875,0.210884,0.96875,0.789116,0.346369,0.948387,1.021471,0
31,1,115,8,0.934959,0.96875,0.212329,0.96875,0.787671,0.348315,0.941935,1.028467,0
31,1,114,9,0.926829,0.96875,0.213793,0.96875,0.786207,0.350282,0.935484,1.03556,0
31,1,113,10,0.918699,0.96875,0.215278,0.96875,0.784722,0.352273,0.929032,1.042752,0
31,1,112,11,0.910569,0.96875,0.216783,0.96875,0.783217,0.354286,0.922581,1.050044,0
31,1,111,12,0.902439,0.96875,0.21831,0.96875,0.78169,0.356322,0.916129,1.057438,0.000001
31,1,110,13,0.894309,0.96875,0.219858,0.96875,0.780142,0.358382,0.909677,1.064938,0.000001
31,1,109,14,0.886179,0.96875,0.221429,0.96875,0.778571,0.360465,0.903226,1.072545,0.000001
31,1,108,15,0.878049,0.96875,0.223022,0.96875,0.776978,0.362573,0.896774,1.080261,0.000001
31,1,107,16,0.869919,0.96875,0.224638,0.96875,0.775362,0.364706,0.890323,1.088089,0.000001
31,1,106,17,0.861789,0.96875,0.226277,0.96875,0.773723,0.366864,0.883871,1.096031,0.000002
31,1,105,18,0.853659,0.96875,0.227941,0.96875,0.772059,0.369048,0.877419,1.10409,0.000003
31,1,104,19,0.845528,0.96875,0.22963,0.96875,0.77037,0.371257,0.870968,1.112269,0.000004
31,1,103,20,0.837398,0.96875,0.231343,0.96875,0.768657,0.373494,0.864516,1.120569,0.000005
31,1,102,21,0.829268,0.96875,0.233083,0.96875,0.766917,0.375758,0.858065,1.128994,0.000008
31,1,101,22,0.821138,0.96875,0.234848,0.96875,0.765152,0.378049,0.851613,1.137547,0.000009
31,1,100,23,0.813008,0.96875,0.236641,0.96875,0.763359,0.380368,0.845161,1.146231,0.000009
31,1,99,24,0.804878,0.96875,0.238462,0.96875,0.761538,0.382716,0.83871,1.155048,0.000009
31,1,98,25,0.796748,0.96875,0.24031,0.96875,0.75969,0.385093,0.832258,1.164002,0.00001
